n&l / pm	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s	R_3 / 1/s
	5.5	7.5	10.0	11.2
25.6	5.9	8.4	12.2	13.1
26.6	5.9	9.0	9.9	14.7
27.6	5.9	7.6	9.1	13.5
28.5	5.3	8.4	10.2	16.6
29.5	7.4	10.2	12.0	18.7
30.5	8.2	11.3	17.0	23.0
31.5	15.8	17.5	25.6	33.8
32.5	36.7	39.4	54.5	71.4
33.4	89.1	88.3	123.6	175.9
34.4	139.2	162.2	207.9	278.9
35.4	182.2	238.3	331.9	423.4
36.4	238.7	301.5	405.8	499.5
37.4	282.4	371.3	487.1	612.5
38.4	327.2	404.5	530.9	667.9
39.3	371.9	467.1	628.5	764.5
40.3	388.2	503.8	657.4	789.0
41.3	411.6	541.1	696.9	863.6
42.3	419.6	543.5	701.0	872.7
43.3	445.8	596.6	770.4	946.1
44.3	453.8	590.5	759.9	915.6
45.2	463.1	613.2	783.4	941.8
46.2	456.6	598.1	769.7	938.8
47.2	473.8	631.5	819.2	984.0
48.2	460.4	594.9	783.5	946.2
49.2	448.2	608.5	774.9	939.0
50.1	441.6	570.9	744.1	886.2
51.1	435.3	585.7	755.5	916.2
52.1	417.1	563.3	752.6	881.2
53.1	417.9	554.2	725.6	859.7
54.1	387.2	525.3	687.0	806.9
55.0	384.4	530.3	682.3	815.8
56.0	370.8	500.4	646.8	787.4
57.0	356.3	501.2	638.4	765.9
58.0	339.3	467.2	587.1	707.8
59.0	371.4	493.9	610.1	756.4
59.9	434.4	573.9	730.4	876.5
60.9	654.2	849.5	1048.0	1245.8
61.9	846.9	1091.5	1360.1	1593.6
62.9	722.7	995.1	1282.2	1531.6
63.8	370.0	504.8	694.2	824.2
64.8	300.0	420.6	528.3	656.6
65.8	294.7	399.7	524.9	644.8
66.8	346.6	455.7	579.1	697.9
67.8	586.7	728.7	876.9	1047.5
68.7	1170.4	1454.9	1747.8	2015.0
69.7	1785.0	2253.0	2674.1	3095.2
70.7	1537.0	2064.5	2599.5	3040.3
71.7	512.6	770.7	1078.3	1281.0
72.6	257.3	357.8	455.4	553.4
73.6	237.3	322.2	424.8	513.7
74.6	235.7	322.9	417.5	522.4
75.6	221.3	297.6	408.8	490.5
76.5	221.8	301.9	390.0	473.6
77.5	212.1	292.3	370.5	442.7
78.5	213.9	291.6	370.8	451.2
79.5	200.7	275.7	354.9	436.1
80.4	198.6	265.6	344.5	413.0
81.4	177.9	247.2	320.6	405.9
82.4	176.8	250.3	324.0	397.5
83.4	164.2	237.2	300.2	374.6
84.3	164.6	232.7	304.2	352.4
85.3	155.8	224.1	283.1	341.0
86.3	152.9	214.7	281.2	352.2
87.3	140.4	207.9	269.7	320.0
88.2	146.9	205.1	264.7	312.1
89.2	136.4	189.2	249.3	295.5
90.2	126.8	184.3	249.4	292.3
91.1	121.9	171.3	227.0	272.2
92.1	111.8	164.4	221.1	260.2
93.1	114.8	154.8	195.1	250.9
94.1	104.5	153.4	193.5	236.0
95.0	102.8	143.4	189.4	238.1
96.0	102.3	141.8	185.9	225.3
97.0	96.4	136.1	171.0	210.6
97.9	98.2	136.9	172.8	201.0
98.9	92.0	131.5	164.7	203.5
99.9	92.1	128.7	167.7	194.2
100.8	93.0	116.5	160.7	192.3
101.8	88.0	121.6	156.5	196.0
102.8	78.6	117.6	153.1	186.9
103.7	83.1	116.8	149.3	183.3
104.7	82.0	111.6	144.7	182.9
105.7	84.1	115.7	151.8	182.4
106.6	78.4	114.2	147.5	170.5
107.6	78.8	109.9	143.6	177.3
108.6	79.6	105.3	135.6	172.0
109.5	68.9	105.4	139.0	171.8
110.5	69.4	103.0	130.6	162.8
111.5	69.7	99.3	126.9	157.1
112.4	68.3	93.3	116.2	150.1
113.4	65.5	94.1	122.1	150.6
114.4	69.0	93.7	117.4	142.4
115.3	61.8	91.8	119.8	148.7
116.3	62.6	88.4	114.3	133.0
117.3	63.6	92.6	117.1	143.7
118.2	59.4	88.3	113.7	137.0
119.2	59.6	87.9	112.1	135.2
120.1	58.8	85.9	105.9	128.0
121.1	62.8	83.3	109.5	137.2
122.1	70.9	92.7	130.8	146.8
