Micrometer Position (mm),counts/10s,Photon/S (Hz)
0.5,30,3
0.55,23,2.3
0.6,23,2.3
0.65,26,2.6
0.7,25,2.5
0.75,31,3.1
0.8,29,2.9
0.85,32,3.2
0.9,32,3.2
0.95,30,3
1,27,2.7
1.05,36,3.6
1.1,17,1.7
1.15,21,2.1
1.2,33,3.3
1.25,49,4.9
1.3,52,5.2
1.35,40,4
1.4,38,3.8
1.45,28,2.8
1.5,35,3.5
1.55,32,3.2
1.6,39,3.9
1.65,34,3.4
1.7,39,3.9
1.75,42,4.2
1.8,52,5.2
1.85,43,4.3
1.9,67,6.7
1.95,77,7.7
2,52,5.2
2.05,85,8.5
2.1,72,7.2
2.15,57,5.7
2.2,52,5.2
2.25,39,3.9
2.3,57,5.7
2.35,46,4.6
2.4,60,6
2.45,69,6.9
2.5,102,10.2
2.55,91,9.1
2.6,132,13.2
2.65,121,12.1
2.7,86,8.6
2.75,78,7.8
2.8,54,5.4
2.85,47,4.7
2.9,34,3.4
2.95,39,3.9
3,53,5.3
3.05,83,8.3
3.1,85,8.5
3.15,93,9.3
3.2,106,10.6
3.25,103,10.3
3.3,82,8.2
3.35,72,7.2
3.4,44,4.4
3.45,36,3.6
3.5,37,3.7
3.55,37,3.7
3.6,40,4
3.65,45,4.5
3.7,49,4.9
3.75,53,5.3
3.8,40,4
3.85,51,5.1
3.9,38,3.8
3.95,35,3.5
4,51,5.1
4.05,53,5.3
4.1,69,6.9
4.15,70,7
4.2,67,6.7
4.25,54,5.4
4.3,44,4.4
4.35,66,6.6
4.4,67,6.7
4.45,66,6.6
4.5,100,10
4.55,84,8.4
4.6,116,11.6
4.65,96,9.6
4.7,127,12.7
4.75,144,14.4
4.8,167,16.7
4.85,231,23.1
4.9,285,28.5
4.95,292,29.2
5,307,30.7
5.05,318,31.8
5.1,270,27
5.15,230,23
5.2,229,22.9
5.25,161,16.1
5.3,232,23.2
5.35,268,26.8
5.4,443,44.3
5.45,614,61.4
5.5,762,76.2
5.55,845,84.5
5.6,894,89.4
5.65,803,80.3
5.7,636,63.6
5.75,460,46
5.8,303,30.3
5.85,219,21.9
5.9,276,27.6
5.95,478,47.8
6,693,69.3
6.05,1125,112.5
6.1,1430,143
6.15,1482,148.2
6.2,1606,160.6
6.25,1505,150.5
6.3,1040,104
6.35,668,66.8
6.4,417,41.7
6.45,251,25.1
6.5,291,29.1
6.55,612,61.2
6.6,882,88.2
6.65,1638,163.8
6.7,1976,197.6
6.75,2221,222.1
6.8,2270,227
6.85,1941,194.1
6.9,1387,138.7
6.95,799,79.9
7,380,38
7.05,205,20.5
7.1,244,24.4
7.15,552,55.2
7.2,1289,128.9
7.25,1561,156.1
7.3,2149,214.9
7.35,2400,240
7.4,2318,231.8
7.45,1955,195.5
7.5,1271,127.1
7.55,876,87.6
7.6,285,28.5
7.65,125,12.5
7.7,285,28.5
7.75,652,65.2
7.8,984,98.4
7.85,1572,157.2
7.9,1917,191.7
7.95,2048,204.8
8,1957,195.7
8.05,1482,148.2
8.1,964,96.4
8.15,569,56.9
8.2,310,31
8.25,137,13.7
8.3,229,22.9
8.35,485,48.5
8.4,915,91.5
8.45,1195,119.5
8.5,1423,142.3
8.55,1376,137.6
8.6,1234,123.4
8.65,1108,110.8
8.7,689,68.9
8.75,431,43.1
8.8,282,28.2
8.85,162,16.2
8.9,214,21.4
8.95,364,36.4
9,566,56.6
9.05,704,70.4
9.1,687,68.7
9.15,715,71.5
9.2,616,61.6
9.25,529,52.9
9.3,376,37.6
9.35,248,24.8
9.4,179,17.9
9.45,175,17.5
9.5,192,19.2
9.55,173,17.3
9.6,255,25.5
9.65,238,23.8
9.7,205,20.5
9.75,199,19.9
9.8,158,15.8
9.85,123,12.3
9.9,94,9.4
9.95,31,3.1
10,31,3.1
10.05,36,3.6
10.1,25,2.5
10.15,24,2.4
10.2,31,3.1
10.25,25,2.5
10.3,19,1.9
10.35,15,1.5
10.4,17,1.7
10.45,24,2.4
10.5,22,2.2
10.55,29,2.9
10.6,24,2.4
10.65,27,2.7
10.7,22,2.2
10.75,16,1.6
10.8,15,1.5
10.85,24,2.4
10.9,29,2.9
10.95,23,2.3
11,25,2.5
11.05,19,1.9
11.1,27,2.7
11.15,20,2
11.2,25,2.5
11.25,22,2.2
11.3,22,2.2
11.35,33,3.3
11.4,19,1.9
11.45,20,2
11.5,17,1.7
11.55,22,2.2
11.6,22,2.2
11.65,25,2.5
11.7,21,2.1
11.75,17,1.7
11.8,26,2.6
11.85,21,2.1
11.9,26,2.6
11.95,22,2.2
12,18,1.8
12.05,31,3.1
12.1,22,2.2
12.15,25,2.5
12.2,25,2.5
12.25,25,2.5
12.3,27,2.7
12.35,24,2.4
12.4,24,2.4
12.45,23,2.3
12.5,21,2.1
12.55,21,2.1
12.6,32,3.2
12.65,23,2.3
12.7,21,2.1
12.75,20,2
12.8,27,2.7
12.85,16,1.6
12.9,20,2
12.95,28,2.8
13,28,2.8
13.05,26,2.6
13.1,18,1.8
13.15,24,2.4
13.2,24,2.4
13.25,25,2.5
13.3,27,2.7
13.35,26,2.6
13.4,19,1.9
13.45,20,2
13.5,17,1.7
