input Amp. [V],Output Amp. [V]
0.005,0.448
0.05,3.76
0.1,7.55
0.15,10.6
0.2,12.8
0.25,14.2
0.3,15
0.35,15.8
0.4,16.6
0.45,17.2
0.5,17.4
