input Amp. [V],Output Amp. [V]
0.25,0.024
0.75,0.024
1,0.024
1.25,0.024
1.5,11.3
1.6,13.8
1.7,15.3
1.8,16.6
1.9,17.4
2,18.2
2.25,19.2
2.5,19.8
2.75,20.4
3,20.8
3.25,20.8
3.5,21.2
