input Amp. [V],Output Amp. [V]
0,0
0.005,0.44
0.025,1.98
0.0375,2.9
0.05,4
0.0625,5.1
0.075,6.15
0.1,8.3
0.125,10.2
0.15,12.4
0.175,14.3
0.2,15.7
0.225,16.4
0.25,17.1
0.3,17.8
0.35,18.6
0.4,19
0.45,19.2
0.5,19.4
