input Amp. [V],Output Amp. [V]
0.25,0.024
0.5,0.024
0.75,0.024
1,0.024
1.1,0.024
1.2,0.024
1.3,0.024
1.4,0.024
1.5,0.048
1.6,0.05
1.7,12.4
1.8,14.7
1.9,16.6
2,17.6
2.1,18.2
2.2,18.6
2.3,19.4
2.4,19.6
2.5,19.8
2.75,20.4
3,20.8
3.25,21
3.5,21.2
