input Amp. [V],Output Amp. [V]
0.25,0.024
0.5,0.024
0.75,0.024
1,0.024
1.25,0.024
1.4,0.026
1.5,0.028
1.6,0.026
1.7,0.028
1.8,0.028
1.9,0.028
2,0.05
2.1,0.062
2.2,0.07
2.3,0.106
2.4,0.146
2.5,0.18
2.6,0.248
2.7,0.314
2.8,0.368
2.9,0.408
3,0.6
3.1,0.93
3.2,21.6
3.3,21
3.4,21
3.5,21.2
